Name	Website	LinkedIn	Primary Phone	Phone	Languages
Movile	http://www.movile.com.br	http://www.linkedin.com/company/movile	{}		English
CASACOR	http://casacor.abril.com.br	http://www.linkedin.com/company/casa-cor	{}		Portuguese
NV	http://www.bynv.com.br	http://www.linkedin.com/company/bynv	{}		
Mobly	http://www.mobly.com.br	http://www.linkedin.com/company/mobly	{'number': '+55 11 4005-1091', 'source': 'Account', 'sanitized_number': '+551140051091'}	+55 11 4005-1091	Portuguese
Anjos do Brasil	http://www.anjosdobrasil.net	http://www.linkedin.com/company/anjos-do-brasil	{}		Portuguese
Gocase ®	http://www.gocase.com.br	http://www.linkedin.com/company/gocasebr	{}		Portuguese
Icomm Group | Shop2gether & OQVestir		http://www.linkedin.com/company/icomm-goup	{}		Portuguese
Grupo Fictor	http://www.fictor.com.br	http://www.linkedin.com/company/grupofictor	{}		English
Grupo Luiza Barcelos	http://www.luizabarcelos.com.br	http://www.linkedin.com/company/luizabarcelos	{}		Portuguese
Marelli	http://www.marelli.com.br	http://www.linkedin.com/company/marelli-oficial	{}		Portuguese
Metalúrgica Albras Ltda.	http://www.albras.com	http://www.linkedin.com/company/metal%c3%bargica-albras-ltda-	{}		Portuguese
Flexform	http://www.flexform.com.br	http://www.linkedin.com/company/flexformbr	{'number': '+55 11 2431-5511', 'source': 'Account', 'sanitized_number': '+551124315511'}	+55 11 2431-5511	English
oáz		http://www.linkedin.com/company/oaz-co	{}		Portuguese
Fakini	http://www.fakini.com.br	http://www.linkedin.com/company/fakini	{}		Portuguese
KPTL	http://www.kptl.com.br	http://www.linkedin.com/company/kptl-vc	{'number': '+55 11 2165-1005', 'source': 'Scraped', 'sanitized_number': '+551121651005'}	+55 11 2165-1005	English, Portuguese
SYN	http://www.syn.com.br	http://www.linkedin.com/company/synproptech	{'number': '+55 11 5412-7600', 'source': 'Account', 'sanitized_number': '+551154127600'}	+55 11 5412-7600	
Grupo Cordeiro BR	http://www.grupocordeiro.com	http://www.linkedin.com/company/grupocordeirobr	{'number': '+55 85 4006-2424', 'source': 'Account', 'sanitized_number': '+558540062424'}	+55 85 4006-2424	English, Portuguese
LOFTY STYLE	http://www.loftystyle.com.br	http://www.linkedin.com/company/lofty-style	{}		
Grupo SA	http://www.sagrupo.com	http://www.linkedin.com/company/gruposa	{}		
Trimak Engenharia	http://www.trimak.com.br	http://www.linkedin.com/company/trimak-engenharia-e-com-rcio-ltda	{}		Portuguese
Redley	http://www.redley.com.br	http://www.linkedin.com/company/company-that-owns-brands-cant-o-redley-kenner	{'number': '+55 21 2204-2629', 'source': 'Account', 'sanitized_number': '+552122042629'}	+55 21 2204-2629	Portuguese
Moda Colmeia	http://www.modacolmeia.com	http://www.linkedin.com/company/modacolmeia	{}		Portuguese
Lenny Niemeyer	http://www.lennyniemeyer.com	http://www.linkedin.com/company/lennyniemeyer	{'number': '+55 21 3558-0036', 'source': 'Scraped', 'sanitized_number': '+552135580036'}	+55 21 3558-0036	
Top Brands Fashion Group		http://www.linkedin.com/company/topbrandsfashiongroup	{}		
