Name,Website,LinkedIn,Primary Phone,Phone,Languages,Segment
CENTAURO,http://www.centauro.com.br,http://www.linkedin.com/company/centauroesportes,{},,Portuguese,
Grupo Marilan,http://www.grupomarilan.com.br,http://www.linkedin.com/company/grupomarilan,"{'number': '+55 14 2105-6000', 'source': 'Account', 'sanitized_number': '+551421056000'}",+55 14 2105-6000,"English, Portuguese, Spanish",
Eneva,http://www.eneva.com.br,http://www.linkedin.com/company/eneva,"{'number': '+55 800 601 8679', 'source': 'Scraped', 'sanitized_number': '+558006018679'}",+55 800 601 8679,,
Ocyan,http://www.ocyan-sa.com,http://www.linkedin.com/company/ocyan-sa,"{'number': '+55 21 3850-6001', 'source': 'Owler', 'sanitized_number': '+552138506001'}",+55 21 3850-6001,,
Cia. Hering,http://www.hering.com.br,http://www.linkedin.com/company/cia-hering,"{'number': '+55 47 3321-3544', 'source': 'Owler', 'sanitized_number': '+554733213544'}",+55 47 3321-3544,English,
Rumo,http://www.rumolog.com,http://www.linkedin.com/company/rumologistica,{},,English,
Dafiti,http://www.dafitigroup.com,http://www.linkedin.com/company/dafiti,{},,Portuguese,
Luizalabs,http://www.luizalabs.com,http://www.linkedin.com/company/luizalabs,"{'number': '+55 800 773 3838', 'source': 'Scraped', 'sanitized_number': '+558007733838'}",+55 800 773 3838,Portuguese,
Coca-Cola Andina Brasil,,http://www.linkedin.com/company/coca-cola-andina-brasil,{},,,
Biosev,http://www.raizen.com,http://www.linkedin.com/company/biosev,{},,Portuguese,
Grupo Edson Queiroz,http://www.geq.com.br,http://www.linkedin.com/company/grupo-edson-queiroz,{},,,
Ultragaz,http://www.ultragaz.com.br,http://www.linkedin.com/company/ultragaz,"{'number': '+55 11 4003-0123', 'source': 'Scraped', 'sanitized_number': '+551140030123'}",+55 11 4003-0123,,
Jadlog Logística,http://www.jadlog.com.br,http://www.linkedin.com/company/jadloglogistica,"{'number': '+55 11 3563-2000', 'source': 'Owler', 'sanitized_number': '+551135632000'}",+55 11 3563-2000,Portuguese,
Embrapa,http://www.embrapa.br,http://www.linkedin.com/company/embrapa,{},,"English, Portuguese",
Cobasi,http://www.cobasi.com.br,http://www.linkedin.com/company/cobasi,{},,Portuguese,
Vix Logistica,http://www.vix.com.br,http://www.linkedin.com/company/vix-logistica,"{'number': '+55 27 3338-5381', 'sanitized_number': '+552733385381', 'source': 'Account'}",+55 27 3338-5381,,
Constellation Oil Services,http://www.theconstellation.com,http://www.linkedin.com/company/constellation-oil-services,{},,,
Grupo SOMA,,http://www.linkedin.com/company/grupo-soma,"{'number': '+55 21 2503-6850', 'source': 'Owler', 'sanitized_number': '+552125036850'}",+55 21 2503-6850,,
Oceanica,http://www.oceanica.com.br,http://www.linkedin.com/company/oceanica,{},,"English, Portuguese",
Braspress Urgent Transport,http://www.braspress.com,http://www.linkedin.com/company/braspresstransportesurgentes,"{'number': '+222 22 23 35 00', 'source': 'Scraped', 'sanitized_number': '+22222233500'}",+222 22 23 35 00,,
The Mosaic Company - Brasil,http://www.mosaicco.com.br,http://www.linkedin.com/company/mosaicbr,{},,Portuguese,
Privalia,http://www.privalia.com,http://www.linkedin.com/company/privalia,"{'number': '+55 34 93553-1805', 'source': 'Owler', 'sanitized_number': '+5534935531805'}",+55 34 93553-1805,"Spanish, Italian",
Yara Brazil,http://www.yarabrasil.com.br,http://www.linkedin.com/company/yarabroficial,{},,Portuguese,
Italac,http://www.italac.com.br,http://www.linkedin.com/company/italacoficial,{},,,
GrupoSC Distribuidora de Medicamentos,http://www.gruposc.com.br,http://www.linkedin.com/company/gruposc-distribui%c3%a7%c3%a3o-de-medicamentos,{},,,
Lab-to-Lab Pardini,http://www.labtolabpardini.com.br,http://www.linkedin.com/company/pardini-oficial,{},,"Portuguese, Portuguese",
FRIMESA,http://www.frimesa.com.br,http://www.linkedin.com/company/frimesa,{},,,
Granado Pharmácias | Perfumaria Phebo,http://www.granado.com.br,http://www.linkedin.com/company/granado-phebo,{},,Portuguese,
Enel Brasil,http://www.enel.com.br,http://www.linkedin.com/company/enelbrasil,"{'number': '+55 800 280 0120', 'source': 'Scraped', 'sanitized_number': '+558002800120'}",+55 800 280 0120,Portuguese,
Lavoro Agro,http://www.lavoroagro.com,http://www.linkedin.com/company/lavoroagro,"{'number': '+55 11 4280-0790', 'source': 'Owler', 'sanitized_number': '+551142800790'}",+55 11 4280-0790,Portuguese,
Reserva,http://www.usereserva.com,http://www.linkedin.com/company/reserva,{},,Portuguese,
Santos Brasil,http://www.santosbrasil.com.br,http://www.linkedin.com/company/santos-brasil,"{'number': '+55 13 2102-9000', 'source': 'Owler', 'sanitized_number': '+551321029000'}",+55 13 2102-9000,"English, Portuguese",
Transpetro - Petrobras Transporte S. A.,http://www.transpetro.com.br,http://www.linkedin.com/company/transpetro-petrobras-transporte,"{'number': '+55 800 728 9001', 'source': 'Owler', 'sanitized_number': '+558007289001'}",+55 800 728 9001,,
Saraiva,http://www.saraiva.com.br,http://www.linkedin.com/company/livraria-saraiva,{},,Portuguese,
Itaipu Binacional,http://www.itaipu.gov.br,http://www.linkedin.com/company/itaipu-binacional,"{'number': '+55 61 3223-0739', 'source': 'Account', 'sanitized_number': '+556132230739'}",+55 61 3223-0739,,
Coamo Agroindustrial Cooperativa,http://www.coamo.com.br,http://www.linkedin.com/company/coamo-agroindustrial-cooperativa,"{'number': '+55 44 3599-8000', 'source': 'Account', 'sanitized_number': '+554435998000'}",+55 44 3599-8000,Portuguese,
EuroChem Brasil,http://www.eurochemsam.com,http://www.linkedin.com/company/eurochembrasil,{},,Portuguese,
Gomes da Costa (Calvo Group),http://www.gomesdacosta.com.br,http://www.linkedin.com/company/gomes-da-costa-calvo-group-,{},,,
Leão,http://www.chasleao.com.br,http://www.linkedin.com/company/leao-coca-cola,{},,Portuguese,
DHL Express Brasil,http://www.dhl.com.br,http://www.linkedin.com/company/dhl-brasil,{},,,
Beep Saúde,http://www.beepsaude.com.br,http://www.linkedin.com/company/beepsaude,"{'number': '+55 21 3577-3231', 'source': 'Owler', 'sanitized_number': '+552135773231'}",+55 21 3577-3231,,
Cocamar Cooperativa Agrindustrial,http://www.cocamar.com.br,http://www.linkedin.com/company/cocamar-cooperativa-agroindustrial,{},,Portuguese,
Chilli Beans,http://www.chillibeans.com.br,http://www.linkedin.com/company/chilli-beans,{},,Portuguese,
Atvos,http://www.atvos.com,http://www.linkedin.com/company/atvos,{},,,
MULTILOG,http://www.multilog.com.br,http://www.linkedin.com/company/multilog,"{'number': '+55 47 3341-5000', 'source': 'Scraped', 'sanitized_number': '+554733415000'}",+55 47 3341-5000,"English, Portuguese, Spanish",
Light,http://www.light.com.br,http://www.linkedin.com/company/light,"{'number': '+55 800 021 0196', 'source': 'Owler', 'sanitized_number': '+558000210196'}",+55 800 021 0196,,
Hidrovias do Brasil,http://www.hbsa.com.br,http://www.linkedin.com/company/hidrovias-do-brasil,"{'number': '+55 41 3598-3381', 'source': 'Scraped', 'sanitized_number': '+554135983381'}",+55 41 3598-3381,"English, Portuguese, Spanish",
Log-In Logística Integrada,http://www.loginlogistica.com.br,http://www.linkedin.com/company/loginlogisticaintegrada,"{'number': '+55 21 2111-6500', 'source': 'Account', 'sanitized_number': '+552121116500'}",+55 21 2111-6500,Portuguese,
UNICAMPO,http://www.unicampo.coop.br,http://www.linkedin.com/company/unicampo,{},,Portuguese,
Grupo SADA,http://www.gruposada.com.br,http://www.linkedin.com/company/grupo-sada-oficial,"{'number': '+55 31 98285-8424', 'source': 'Owler', 'sanitized_number': '+5531982858424'}",+55 31 98285-8424,,
Stoller do Brasil Ltda.,http://www.stoller.com.br,http://www.linkedin.com/company/stoller-do-brasil-ltda-,"{'number': '+55 19 3707-1200', 'source': 'Account', 'sanitized_number': '+551937071200'}",+55 19 3707-1200,Portuguese,
Shoulder,http://www.shoulder.com.br,http://www.linkedin.com/company/shoulder,"{'number': '+55 11 3366-0040', 'source': 'Account', 'sanitized_number': '+551133660040'}",+55 11 3366-0040,Portuguese,
ISA ENERGIA BRASIL,http://www.isaenergiabrasil.com.br,http://www.linkedin.com/company/isaenergiabrasil,"{'number': '+55 11 3138-7669', 'source': 'Scraped', 'sanitized_number': '+551131387669'}",+55 11 3138-7669,,
Vallourec South America,,http://www.linkedin.com/company/vallourec-south-america,{},,,
Copa Energia,http://www.copaenergia.com.br,http://www.linkedin.com/company/copa-energia,{},,,
J&T Express Brasil,http://www.jtexpress.com.br,http://www.linkedin.com/company/jtexpressbrasil,{},,,
Viveo,http://www.viveo.com.br,http://www.linkedin.com/company/viveooficial,"{'number': '04543-030', 'source': 'Owler', 'sanitized_number': None}",04543-030,,
Ventura Offshore,http://www.venturascafe.com,http://www.linkedin.com/company/ventura-offshore,"{'number': '+1 609-641-5158', 'source': 'Owler', 'sanitized_number': '+16096415158'}",+1 609-641-5158,,
Mococa S/A - Produtos Alimentícios,http://www.mococa.com.br,http://www.linkedin.com/company/mococaoficial,"{'number': '+55 800 707 0033', 'source': 'Scraped', 'sanitized_number': '+558007070033'}",+55 800 707 0033,Portuguese,
