Name,Website,LinkedIn,Primary Phone,Phone,Languages,Segment
Loggi,http://www.loggi.com,http://www.linkedin.com/company/loggi,"{'number': '+55 11 4020-1460', 'source': 'Owler', 'sanitized_number': '+551140201460'}",+55 11 4020-1460,Portuguese,
VLI Logística,http://www.vli-logistica.com.br,http://www.linkedin.com/company/vlilogistica,{},,English,
Petz,http://www.petz.com.br,http://www.linkedin.com/company/petz,"{'number': '+55 11 3434-6980', 'source': 'Owler', 'sanitized_number': '+551134346980'}",+55 11 3434-6980,"Portuguese, Portuguese",
Grupo CCR,http://www.grupoccr.com.br,http://www.linkedin.com/company/grupoccroficial,"{'number': '+55 11 3048-5900', 'source': 'Owler', 'sanitized_number': '+551130485900'}",+55 11 3048-5900,,
CENTAURO,http://www.centauro.com.br,http://www.linkedin.com/company/centauroesportes,{},,Portuguese,
Cia. Hering,http://www.hering.com.br,http://www.linkedin.com/company/cia-hering,"{'number': '+55 47 3321-3544', 'source': 'Owler', 'sanitized_number': '+554733213544'}",+55 47 3321-3544,English,
Arezzo&Co,,http://www.linkedin.com/company/arezzoco,{},,Portuguese,
Rumo,http://www.rumolog.com,http://www.linkedin.com/company/rumologistica,{},,English,
Dafiti,http://www.dafitigroup.com,http://www.linkedin.com/company/dafiti,{},,Portuguese,
Luizalabs,http://www.luizalabs.com,http://www.linkedin.com/company/luizalabs,"{'number': '+55 800 773 3838', 'source': 'Scraped', 'sanitized_number': '+558007733838'}",+55 800 773 3838,Portuguese,
brMalls,http://www.allos.com.br,http://www.linkedin.com/company/brmalls,{},,"Portuguese, English",
Ipiranga,http://www.ipiranga.com.br,http://www.linkedin.com/company/petroleo-ipiranga,"{'number': '+55 21 2574-5858', 'source': 'Owler', 'sanitized_number': '+552125745858'}",+55 21 2574-5858,Portuguese,
Jadlog Logística,http://www.jadlog.com.br,http://www.linkedin.com/company/jadloglogistica,"{'number': '+55 11 3563-2000', 'source': 'Owler', 'sanitized_number': '+551135632000'}",+55 11 3563-2000,Portuguese,
Embrapa,http://www.embrapa.br,http://www.linkedin.com/company/embrapa,"{'number': '+55 61 3448-4216', 'source': 'Account', 'sanitized_number': '+556134484216'}",+55 61 3448-4216,"English, Portuguese",
Cobasi,http://www.cobasi.com.br,http://www.linkedin.com/company/cobasi,{},,Portuguese,
Vix Logistica,http://www.vix.com.br,http://www.linkedin.com/company/vix-logistica,"{'number': '+55 27 3338-5381', 'sanitized_number': '+552733385381', 'source': 'Account'}",+55 27 3338-5381,,
Iguatemi S.A.,http://www.vemseriguatemi.com.br,http://www.linkedin.com/company/iguatemisa,{},,Portuguese,
Grupo SOMA,,http://www.linkedin.com/company/grupo-soma,"{'number': '+55 21 2503-6850', 'source': 'Owler', 'sanitized_number': '+552125036850'}",+55 21 2503-6850,,
The Mosaic Company - Brasil,http://www.mosaicco.com.br,http://www.linkedin.com/company/mosaicbr,{},,Portuguese,
Privalia,http://www.privalia.com,http://www.linkedin.com/company/privalia,"{'number': '+55 34 93553-1805', 'source': 'Owler', 'sanitized_number': '+5534935531805'}",+55 34 93553-1805,"Spanish, Italian",
Yara Brazil,http://www.yarabrasil.com.br,http://www.linkedin.com/company/yarabroficial,{},,Portuguese,
Reserva,http://www.usereserva.com,http://www.linkedin.com/company/reserva,"{'number': '+55 21 2474-1562', 'source': 'Account', 'sanitized_number': '+552124741562'}",+55 21 2474-1562,Portuguese,
Petlove,http://www.petlove.com.br,http://www.linkedin.com/company/petlove,"{'number': '+55 11 3335-0200', 'source': 'Account', 'sanitized_number': '+551133350200'}",+55 11 3335-0200,,
Transpetro - Petrobras Transporte S. A.,http://www.transpetro.com.br,http://www.linkedin.com/company/transpetro-petrobras-transporte,"{'number': '+55 800 728 9001', 'source': 'Owler', 'sanitized_number': '+558007289001'}",+55 800 728 9001,,
Saraiva,http://www.saraiva.com.br,http://www.linkedin.com/company/livraria-saraiva,{},,Portuguese,
Nutrien Soluções Agrícolas,http://www.nutrien.com.br,http://www.linkedin.com/company/nutrienbr,{},,,
Bom Futuro,http://www.bomfuturo.com.br,http://www.linkedin.com/company/bomfuturooficial,"{'number': '+55 65 3645-8000', 'source': 'Owler', 'sanitized_number': '+556536458000'}",+55 65 3645-8000,,
Cocamar Cooperativa Agrindustrial,http://www.cocamar.com.br,http://www.linkedin.com/company/cocamar-cooperativa-agroindustrial,{},,Portuguese,
Chilli Beans,http://www.chillibeans.com.br,http://www.linkedin.com/company/chilli-beans,{},,Portuguese,
MULTILOG,http://www.multilog.com.br,http://www.linkedin.com/company/multilog,"{'number': '+55 47 3341-5000', 'source': 'Scraped', 'sanitized_number': '+554733415000'}",+55 47 3341-5000,"English, Portuguese, Spanish",
Hidrovias do Brasil,http://www.hbsa.com.br,http://www.linkedin.com/company/hidrovias-do-brasil,"{'number': '+55 41 3598-3381', 'source': 'Scraped', 'sanitized_number': '+554135983381'}",+55 41 3598-3381,"English, Portuguese, Spanish",
Grupo Ri Happy,,http://www.linkedin.com/company/grupo-ri-happy,{},,Portuguese,
